about,address,firstTag,image,latitude,longitude,name,overallrate,rate,secondTag,duration(hour),open,close,price
,"Nahdet Masr st./ Charles De Gaulle st.,, ,Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/4c/b6/37/caption.jpg,30.02186,31.21727,The Egyptian Renaissance Sculpture,6 reviews,3.5,,1,9,17,15
,"Oruba Road,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/67/b2/32/2.jpg,30.09842,31.34768,Obelisk of Ramses II,3 reviews,3.5,,0.75,9,17,5
,"El-Gamaleya, | ,Bayn al-Qasrayn, al-Mu'izz street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/18/fa/6d/1a/the-gilded-and-painted.jpg,30.050064,31.26119,Madrasa of Sultan Barquq,"
 1 review",5,,1,9,17,14
,"Mohammed Abd El-Wahab, | ,Zamalek,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.05339,31.22646,Aisha Fahmi Palace,1 review,5,,2,9,17,17
,"Facing Bab Zuwaila, | ,Islamic Cairo District,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/03/8a/48/4c/salah-talay-mosque.jpg,30.17176,31.44877,al-Salih Tala'i Mosque,"
4 reviews",4,,1,9,17,10
,"Cairo EG,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.050451,31.23981,Musafirkhana Palace,0 reviews,0,,2,9,17,10
,"El Darb El Asfar Alley, | ,Azhar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.05198,31.26277,Sabil Qitas,0 reviews,0,,1,9,17,10
,"Cleopatra Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.09235,31.32923,Protestant Church,0 reviews,0,,1,9,17,25
," | ,It has no reviews and you already have a well-reviewed entry for the cave church,, ,Cairo, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.035286,31.27628,Cave chursh,0 reviews,0,,1.25,9,17,15
,"19 Om El Gholam st,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.1559,31.35092,Beit Hosn,0 reviews,0,,0.75,9,17,10
,"Saliba,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.07282,31.23667,Amir Sarghatmish Mosque and Madrasa,0 reviews,0,,1.5,9,17,9
,"Haret Al Room,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.0291,31.25982,Sabil of Muhammad Ali Pasha,0 reviews,0,,0.25,9,17,15
,"Sheikhoun Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.03875,31.24989,Sabil-Kuttab of Sultan Qayt Bay,0 reviews,0,,0.25,9,17,5
,"Al Saleeba Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/6f/37/7e/the-facade-of-the-mosque.jpg,30.07206,31.3711,Mosque of Taghribirdi,0 reviews,0,,1,9,17,5
,"Northwest Wall of the Ibn Tulun Mosque,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/02/3b/df/dc/caption.jpg,30.02821,31.25004,Madrassa of Amir Sarghitmish,"
4 reviews",4,,1,9,17,14
,"Gameaa Al Azhar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/02/7e/04/photo0jpg.jpg,30.04618,31.26192,Mosque of Abo El Dahab,"
1 review",3,,1,9,17,13
,"1km North East of Sahure's Pyramid,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/e6/10/fb/view-from-the-obelisk.jpg,29.99658,31.24894,Sun Temples of Abu Ghurab,"
1 review",1,,2.25,9,17,15
,"Wadi el-Natrun,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/06/f6/09/c0/deir-amba-bischoi.jpg,29.96203,31.42708,Deir Amba Bischoi,"
3 reviews",4.5,,1,9,17,27
,"Features Animals,Cairo University Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/27/66/56/caption.jpg,30.04475,31.24561,Orman Park,"
2 reviews",2,,1.5,9,17,15
,"Al Ahram,, ,Giza 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/77/7a/c3/photo0jpg.jpg,29.972387,31.128283,Menkaure Pyramid,297 reviews,4.5,,1,9,17,17
,"Muizz Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/f0/ad/a0/photo1jpg.jpg,30.07206,31.3711,Mosque-Sabil of Sulayman Agha al-Silahdar,"
3 reviews",4.5,,1,9,17,16
,"Al Fustat, | ,Khan el Kahlili Market Area,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/fd/fa/8d/photo3jpg.jpg,30.0037,31.23641,Bab al-Azab,"
11 reviews",3.5,,1,9,17,15
,"Darb Al Naya, Qal'at al-Kabsh,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0b/20/a2/2b/beautiful-minaret.jpg,29.81667,31.43333,Qait Bey Madrassa,"
4 reviews",4.5,,1,9,17,14
,"Al Giza Desert,, ,Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/15/61/75/6e/visita-la-piramide-escalonada.jpg,29.952984,31.14347,Saqqara (Sakkara) Pyramids,"3,013 reviews",4.5,,1.5,9,17,16
,"36 Al Mashhad Al Husseini,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/ed/85/e1/al-emam-al-hussein-mosque.jpg,30.03689,31.24763,Al-Hussein Mosque,10 reviews,4,,1,9,17,17
